Brand,Model,Price_DH,RAM_GB,Storage_GB,Screen_Size_Inch,Battery_mAh
Samsung,Galaxy A14,2200,4.0,64.0,6.6,5000
Samsung,Galaxy A24,2800,6.0,128.0,6.5,5000
Samsung,Galaxy A54,4500,8.0,256.0,6.4,5000
Samsung,Galaxy S23 Ultra,12500,12.0,512.0,6.8,5000
Samsung,Galaxy S21 FE,5800,8.0,128.0,6.4,4500
Apple,iPhone 11,5200,4.0,128.0,6.1,3110
Apple,iPhone 13,8900,6.0,128.0,6.1,3240
Apple,iPhone 14 Pro,13500,6.0,256.0,6.1,3200
Apple,iPhone 15,11500,6.0,128.0,6.1,3349
Apple,iPhone SE 2022,4800,4.0,64.0,4.7,2018
Xiaomi,Redmi 12,1800,4.0,128.0,6.79,5000
Xiaomi,Redmi Note 12,2300,6.0,128.0,6.67,5000
Xiaomi,Redmi Note 12 Pro,3600,8.0,256.0,6.67,5000
Xiaomi,Poco F5,4400,12.0,256.0,6.67,5000
Xiaomi,13T Pro,8500,12.0,512.0,6.67,5000
Oppo,A17,1700,4.0,64.0,6.56,5000
Oppo,A78,2600,8.0,128.0,6.43,5000
Oppo,Reno 8,4200,8.0,256.0,6.4,4500
Oppo,Reno 10 Pro,6200,12.0,256.0,6.7,4600
Oppo,Find X6 Pro,10500,12.0,256.0,6.82,5000
Realme,C55,2100,6.0,128.0,6.72,5000
Realme,11 Pro+,4500,12.0,512.0,6.7,5000
Realme,C33,1400,4.0,64.0,6.5,5000
Realme,GT Neo 5,5500,16.0,256.0,6.74,5000
Huawei,Nova 9,3900,8.0,128.0,6.57,4300
Huawei,P60 Pro,11000,12.0,256.0,6.67,4815
Huawei,Nova 11i,2900,8.0,128.0,6.8,5000
Infinix,Hot 30,1600,8.0,128.0,6.78,5000
Infinix,Note 30 Pro,2800,8.0,256.0,6.67,5000
Tecno,Spark 10,1450,4.0,64.0,6.6,5000
Tecno,Camon 20,2400,8.0,256.0,6.67,5000
Tecno,Phantom X2,6800,8.0,256.0,6.8,5160
Google,Pixel 7a,5200,8.0,128.0,6.1,4385
Google,Pixel 8 Pro,12000,12.0,256.0,6.7,5050
Motorola,Edge 40,4900,8.0,256.0,6.55,4400
Motorola,Moto G54,2100,8.0,128.0,6.5,5000
Samsung,Galaxy A04,1300,,32.0,6.5,5000
Xiaomi,Redmi A2,1100,2.0,,6.52,5000
Realme,Note 50,1200,4.0,64.0,,5000
FakeBrand,ErrorPhone,99999,1.0,1.0,1.0,100
